date,stock_code,action,shares,price,cost,cash_after,proceeds,profit,profit_pct
2025-05-21,000895.SZ,SELL,800,24.142452982907734,,90478.09750912653,19288.854235223964,-1054.5976909396559,-0.05183966294251875
2025-05-22,601288.SH,SELL,9400,5.403233679775282,,141202.46658344733,50724.36907432079,-349.1434281760812,-0.006836095875704894
2025-05-22,600745.SH,BUY,1400,35.84581,50199.94856040475,91002.51802304258,,,
2025-05-22,002603.SZ,BUY,2300,14.422102581330558,33181.0281444139,57821.48987862868,,,
2025-05-23,600016.SH,BUY,5400,3.984742148124329,21524.0835592969,36297.40631933178,,,
2025-05-23,300413.SZ,SELL,1600,22.41420890617047,,72113.5190146797,35816.11269534792,-8979.205373992052,-0.2004496398505951
2025-05-23,002236.SZ,SELL,2500,15.182116499832796,,110019.46838563723,37905.94937095753,-4455.251443291665,-0.1051729261129216
2025-05-23,601601.SH,BUY,1200,32.58447159292036,39113.68800169579,70905.78038394144,,,
2025-05-23,002304.SZ,SELL,100,64.93867252634915,,77391.20560914793,6485.42522520649,-171.23699081696577,-0.025724152023934153
2025-05-23,002466.SZ,BUY,900,30.20017,27188.820751530948,50202.384857616984,,,
2025-05-23,600104.SH,BUY,1100,16.80020415712672,18485.847198753825,31716.53765886316,,,
2025-05-23,300347.SZ,BUY,200,47.36155695488282,9475.863617171844,22240.674041691316,,,
2025-05-26,601166.SH,SELL,500,21.590993077901878,,33022.13643514162,10781.462393450303,213.02242455450505,0.020156468237644904
2025-05-26,002074.SZ,BUY,400,24.89490911186232,9961.662096931943,23060.47433820968,,,
2025-05-26,600031.SH,SELL,200,18.02636337289292,,26661.06015831131,3600.585820101632,-209.371940549815,-0.05495387447917938
2025-05-27,601012.SH,SELL,5100,14.425559999999999,,100135.77469551133,73474.71453720001,-5092.774462799978,-0.06482037962037936
2025-05-27,601225.SH,BUY,1900,19.314790493273545,36709.31706182709,63426.45763368424,,,
2025-05-27,601166.SH,BUY,1000,21.768117076205282,21775.220787420658,41651.23684626358,,,
2025-05-27,601985.SH,BUY,1600,9.494285485448765,15195.521681071155,26455.71516519242,,,
2025-05-27,600132.SH,BUY,100,55.03433217086353,5506.396235478695,20949.318929713725,,,
2025-05-28,600600.SH,BUY,100,73.7375899833414,7376.10530486595,13573.213624847776,,,
2025-05-28,601398.SH,SELL,1600,6.780867061886641,,24408.49672037768,10835.283095529903,-313.38489758045034,-0.02810962688763498
2025-05-28,600028.SH,BUY,1600,5.569171018726097,8913.407361567963,15495.089358809717,,,
2025-05-29,600183.SH,BUY,200,26.57661928040712,5317.059293376332,10178.030065433384,,,
2025-05-29,000001.SZ,BUY,300,10.892233074200064,3268.809853276565,6909.220212156819,,,
2025-05-29,601006.SH,BUY,300,6.535356518252316,1961.3807824706385,4947.839429686181,,,
2025-05-29,002460.SZ,SELL,800,30.434454857239874,,29263.75148242655,24315.91205274037,-821.8521169305277,-0.032693922633028165
2025-05-29,000333.SZ,BUY,100,74.94386520228345,7497.664036384304,21766.087446042246,,,
2025-05-30,600183.SH,SELL,200,25.987890857142858,,26956.908765847962,5190.821319805715,-124.50253627570874,-0.02342332088255763
2025-05-30,600196.SH,BUY,400,25.100579205455787,10043.250833846716,16913.657932001246,,,
2025-05-30,002603.SZ,SELL,2300,14.30492458260541,,49772.2127474917,32858.55481549045,-312.28112156983116,-0.009414327759552586
2025-05-30,601628.SH,BUY,400,37.687301056191465,15080.494869467626,34691.71787802407,,,
2025-05-30,601088.SH,SELL,100,36.5074664178771,,38337.71854917746,3646.0006711533856,13.836418490443066,0.0038094143127747637
2025-05-30,601607.SH,BUY,700,18.159576845579167,12715.997584927922,25621.720964249536,,,
2025-06-03,000725.SZ,SELL,17700,3.748495688384434,,91883.8417628643,66262.12079861475,-743.934067430353,-0.011102490199095977
2025-06-03,002603.SZ,BUY,2300,14.658207944189996,33724.169186526364,58159.67257633793,,,
2025-06-03,002714.SZ,BUY,500,40.31897400151087,20166.000836365634,37993.6717399723,,,
2025-06-03,000661.SZ,BUY,100,101.01618740861086,10105.87400092324,27887.797739049056,,,
2025-06-04,000333.SZ,SELL,100,71.55538429954261,,35034.03396904438,7146.23622999532,-348.15029023302486,-0.046454808448072565
2025-06-04,601318.SH,SELL,300,51.35247763023494,,50419.749791839065,15385.715822794687,81.21408473289193,0.005306548760807754
2025-06-04,600547.SH,SELL,800,30.176465639665736,,74529.5387793064,24109.788987467335,4283.758005049513,0.21606735149604311
2025-06-04,002475.SZ,SELL,1300,30.597090419387165,,114254.04724170096,39724.50846239455,-1179.498233927763,-0.028835762781982233
2025-06-04,002001.SZ,SELL,1900,21.64125692792902,,155318.98150015413,41064.934258453155,-335.0868954644902,-0.008093882228192564
2025-06-04,600183.SH,BUY,2100,27.133197694656484,56997.11075727185,98321.87074288228,,,
2025-06-04,601211.SH,BUY,2000,17.68021379220392,35371.43955326075,62950.43118962153,,,
2025-06-05,600588.SH,BUY,1700,13.633619999999997,23184.204396644203,39766.22679297732,,,
2025-06-05,002230.SZ,BUY,300,48.55545317568954,14571.089737480625,25195.1370554967,,,
2025-06-05,300347.SZ,SELL,200,51.25963812373927,,35433.73717433238,10238.600118835682,766.288727859117,0.08089775517611178
2025-06-05,601688.SH,BUY,700,16.60491327464789,11627.407841744678,23806.329332587702,,,
2025-06-05,601225.SH,SELL,1900,18.908764615384616,,59686.27745321847,35879.94812063077,-818.1538165889651,-0.022294172542999615
2025-06-05,600132.SH,SELL,100,56.36344001890153,,65315.29420790617,5629.0167546876955,125.58353760134287,0.02281912628855879
2025-06-06,600522.SH,BUY,1800,13.338600410059534,24016.795997469115,41298.49821043706,,,
2025-06-09,600900.SH,SELL,100,29.22541632042113,,44217.24053835752,2918.7423279204577,-45.79117392730814,-0.01544633376508207
