date,stock_code,action,shares,price,cost,cash_after,proceeds,profit,profit_pct
2024-05-27,000538.SZ,SELL,400,51.180080205895685,,51355.107385362106,20445.418440651207,-512.7956785107526,-0.024467527414079947
2024-05-28,600276.SH,BUY,400,42.944835511963525,17183.685934677174,34171.42145068493,,,
2024-05-28,601607.SH,SELL,300,17.55340530572278,,39430.597214332534,5259.175763647602,-109.70664985787334,-0.020433796348734552
2024-05-28,000963.SZ,BUY,400,29.892040515106117,11961.232400578774,27469.36481375376,,,
2024-05-28,000538.SZ,BUY,200,51.046739339741016,10212.424414269515,17256.940399484243,,,
2024-05-28,600048.SH,SELL,200,9.655261441226575,,19185.48231975484,1928.541920270596,120.50354730069307,0.06664877753825141
2024-05-29,600887.SH,SELL,200,26.148417203426167,,24408.367171967184,5222.884852212343,113.05663041283333,0.02212532897495693
2024-05-29,002352.SZ,SELL,500,35.628317551540235,,42199.3675413288,17791.000369361613,-263.2278149892518,-0.014579843142639225
2024-05-29,300014.SZ,BUY,400,36.973806394526356,14794.248852351795,27405.118688977003,,,
2024-05-30,000876.SZ,BUY,1000,10.080167185533988,10083.236536342036,17321.882152634967,,,
2024-05-31,600183.SH,BUY,300,19.223132099745545,5768.879666512649,11553.002486122317,,,
2024-05-31,002415.SZ,BUY,100,31.475740338868476,3148.867960686385,8404.134525435933,,,
2024-06-03,600522.SH,BUY,200,14.283372759138706,2857.615807999238,5546.518717436695,,,
2024-06-03,601318.SH,SELL,3600,39.11211724527579,,146167.09609172164,140620.57737428494,2119.289525970351,0.01530158714691071
2024-06-03,000858.SZ,BUY,400,131.56489342446864,52642.32796462379,93524.76812709785,,,
2024-06-03,000568.SZ,BUY,200,158.8805443345197,31786.583564199773,61738.18456289808,,,
2024-06-03,600016.SH,SELL,1500,3.3649619055924047,,66779.06574557078,5040.881182672702,-134.5887665318469,-0.026005129553990106
2024-06-05,002352.SZ,BUY,600,35.851761181246516,21518.535909321097,45260.52983624968,,,
2024-06-06,002007.SZ,SELL,3400,16.954966818743383,,102832.47606663834,57571.946230388654,-6725.851223370599,-0.10460469082486998
2024-06-06,000661.SZ,BUY,300,102.05486323964256,30627.976124841123,72204.49994179721,,,
2024-06-06,600029.SH,SELL,100,5.84415,,72788.15520229722,583.6552604999999,1.0732605000000603,0.0018422479582274436
2024-06-06,300015.SZ,BUY,2300,11.551527070425589,26576.66447564091,46211.49072665631,,,
2024-06-06,002466.SZ,BUY,500,34.48519381761978,17247.772557856068,28963.718168800242,,,
2024-06-07,601111.SH,SELL,100,7.44255,,29707.00563730024,743.2874685,34.579468500000075,0.048792264938451485
2024-06-07,000963.SZ,SELL,400,30.286076307120716,,41805.68740046883,12098.681763168584,141.865557126137,0.011864827114633108
2024-06-11,002074.SZ,BUY,800,19.308757375537798,15451.688103118719,26353.99929735011,,,
2024-06-12,601318.SH,BUY,200,37.61844143258426,7526.639912815453,18827.35938453466,,,
2024-06-12,000963.SZ,BUY,200,30.501489884831585,6102.406625770074,12724.952758764584,,,
2024-06-12,600050.SH,SELL,3000,4.161623598544507,,25193.59322236378,12468.640463599197,-522.3737426681146,-0.040210389610389585
2024-06-12,002714.SZ,BUY,200,44.47803553585817,8898.428768941916,16295.164453421863,,,
2024-06-13,000895.SZ,BUY,200,23.43778037018792,4689.38111908665,11605.783334335214,,,
2024-06-13,000651.SZ,SELL,700,35.57465326565017,,36475.6676858186,24869.88435148338,-907.1417578250112,-0.03519187023275084
2024-06-13,600104.SH,SELL,5600,13.502703342218206,,111992.50672190919,75516.83903609059,-2581.7932765364676,-0.033058111263736444
2024-06-14,600887.SH,BUY,1600,25.665944239194253,41078.05385157701,70914.45287033217,,,
2024-06-14,600031.SH,SELL,1400,14.935253932282636,,91796.62621337111,20882.173343038936,-2353.90111966282,-0.10130373456330893
2024-06-14,600029.SH,BUY,5900,5.78578,34146.38314681939,57650.243066551724,,,
