,股票代码,数据条数,起始日期,结束日期,平均收盘价,收盘价标准差,平均日收益率(%),收益率标准差(%),平均成交量,平均换手率(%),最大涨幅(%),最大跌幅(%)
18,002049.SZ,2268,2016-03-11,2025-12-29,68.3717093960274,41.30125323106182,-0.038359303350970014,2.4886143019677442,185194.3312786596,0.0,7.3006,-7.3743
19,002074.SZ,2407,2016-01-04,2025-12-31,26.85612798364503,10.532909594496749,-0.02422887411715828,2.3520732663299895,272780.20509763196,0.0,7.34,-7.31
20,002230.SZ,2382,2016-01-04,2025-12-31,39.09128984580411,11.971542499731648,-0.016015449202350956,2.2428024620085347,408998.74961796805,0.0,7.2982,-7.33
21,002236.SZ,2428,2016-01-04,2025-12-31,16.33334344141177,3.596797060457707,0.004047116968698517,2.302987566495702,406662.86859967053,0.0,7.2825,-7.29
22,002304.SZ,2430,2016-01-04,2025-12-31,97.43336397691506,34.31994105777308,0.020008806584362125,2.052779662040174,59758.58904526749,0.0,7.3158,-7.3426
23,002352.SZ,2382,2016-01-04,2025-12-31,44.972757142679875,13.53337199068726,-0.025343198992443333,1.904208173689592,144692.29961376995,0.0,7.32,-7.0399
24,002371.SZ,2420,2016-01-11,2025-12-31,144.0983103658766,112.40319472159591,0.03872867768595041,2.6167300908568953,85959.13668595042,0.0,7.3536,-7.3654
25,002415.SZ,2428,2016-01-04,2025-12-31,29.95225643646281,10.03563026789964,0.05825947281713342,2.030168283368062,396863.8836120264,0.0,7.3295,-7.1061
26,002460.SZ,2427,2016-01-04,2025-12-31,42.76840583488296,28.453702111734433,-0.01940721054800164,2.490396832370472,318672.4325710754,0.0,7.3229,-7.3759
27,002466.SZ,2404,2016-01-04,2025-12-31,44.808063947635326,24.85020416028012,-0.08621738768718801,2.5737559954003033,414424.57531198004,0.0,7.2854,-7.3529
28,002475.SZ,2429,2016-01-04,2025-12-31,26.845615237210232,15.679309678860921,0.11440469328941949,2.5184114306389698,555621.1123672293,0.0,7.3068,-7.3369
29,002594.SZ,2430,2016-01-04,2025-12-31,53.31190696967713,36.12621158620308,0.03505699588477365,2.1977252364212476,169096.0300288066,0.0,7.26,-7.3572
30,002603.SZ,2430,2016-01-04,2025-12-31,15.30809753576073,6.785534572228757,-0.03715452674897119,2.0632528889790223,224274.78421399178,0.0,7.1326,-7.3119
